 ,'(',')','*','+',"','",'-','.','/',':',';','<','=','@','{','}','~',ASSIGN,BOOL_CONST,CASE,CLASS,DARROW,ELSE,ESAC,FI,IF,IN,INHERITS,INT_CONST,ISVOID,LE,LET,LOOP,NEW,NOT,OBJECTID,OF,POOL,STR_CONST,THEN,TYPEID,WHILE,$end,block_expr_list,branch,branch_list,class,class_list,dispatch_expr_list,expr,feature,feature_list,formal,formal_list,let_expr_tail,opt_dispatch_expr_list,opt_feature_list,opt_formal_list,program
0,,,,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,3
1,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,,,,,,,,,r55,,,,5,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,s7,,,,,,,,,,,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,s12,,,,,,,,,,,,,,,9,10,,,,,11,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,r51,,,,,,,,,,,,,,,,,,,,s12,,,,,,,,,,,,,,,14,,,,,,,,
11,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,s16,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,20,21,,,,22,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s24,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,s12,,,,,,,,,,,,,,,9,10,,,,,25,,
19,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,
20,,r43,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,r53,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,s29,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
